CountyFIPS,Marc_CountyID1,FIPS,LocalityName,Population2024,OUD_Deaths2024,OUDCases2024,Labor_Fatal,Labor_OUD,Labor_Incarceration,Labor_Total,Labor_PerCapita,Health_ED,Health_Hosp,Health_AmbulanceNalax,Health_Indirect,Health_Total,Health_PerCapita,Crime_Total,Crime_PerCapita,ChildFamily_Assistance,ChildFamily_K12Ed,ChildFamily_Total,ChildFamily_PerCapita,Total_Total,Total_PerCapita,HouseholdSector_Total,FedGovtSector_Total,StateLocalSector_Total,MedianAgeYRs,MedianHHIncome,PovertyPct,SevereRentBurdenPct,Uninsured,Hlth_Dist_Name,Hlth_Region_Name,CooperCtrRegionName,CategoryName,CategoryDescription,Urban_Rural,Metro_NonMetro
51750,750,us-va-750,Radford City,17273,1.02,70.5904929,523329.8445,263675.1364,84072.25848,871077.2394,50.42999128,29164.78647,214148.949,15269.60398,606033.4615,864616.801,50.0559718,227355.7468,13.1624933,776911.0841,89666.9877,866578.0718,50.16951727,2829627.859,163.8179737,875166.3762,1345241.116,609220.3664,23.3,57348,33.1,32,6.4,New River,Southwestern,West Central Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan
51740,740,us-va-740,Portsmouth City,96482,40.8,2964.800702,21865371.29,11567508.63,482988.4734,33915868.4,351.5253456,950184.1845,6976939.285,497481.3109,22247599.38,30672204.16,317.9059737,1250456.607,12.96051706,4182889.277,3766013.484,7948902.76,82.38741693,73787431.92,764.7792533,32900415.87,28842757.18,12044258.87,35.9,60491,14.8,26.7,9.9,Portsmouth,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51735,735,us-va-735,Poquoson City,12854,1.02,70.5904929,872468.5052,439585.5778,140160.93,1452215.013,112.9776733,5235.17457,38440.43683,2740.943862,363930.4049,410346.9602,31.92367825,227355.7468,17.68754837,118090.4848,89666.9877,207757.4725,16.16286545,2297675.192,178.7517654,1171280.805,700010.5691,426383.8179,41.2,120972,4.2,12.2,3.5,Peninsula,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51730,730,us-va-730,Petersburg City,34058,12.24,1058.857393,6128444.907,3859703.788,369197.5122,10357346.21,304.1090554,211761.4247,1554905.488,110870.4532,6167605.975,8045143.341,236.2189013,1023100.861,30.03995715,1485453.993,1345004.816,2830458.808,83.10701769,22256049.22,653.4749315,9715586.556,8377163.618,4163299.043,35.8,50698,19.9,26.8,9.6,Crater,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51720,720,us-va-720,Norton City,3478,1.02,141.1809858,454594.8625,458087.2412,137945.6936,1050627.797,302.0781475,18467.90848,135604.7367,9669.114127,595669.0305,759410.7898,218.3469781,429449.744,123.4760621,289010.9233,179333.9754,468344.8987,134.6592578,2707833.23,778.5604456,983060.8954,992886.7271,731885.6071,41.3,41495,26.5,30.4,12.1,Lenowisco,Southwestern,Southwest Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan
51710,710,us-va-710,Norfolk City,231105,47.94,3882.477109,32532119.74,19180983.45,1494977.226,53208080.41,230.2333589,1015623.867,7457444.745,531743.1092,25673578.82,34678390.54,150.0546961,3056671.707,13.22633308,8508730.193,4931684.324,13440414.52,58.15717755,104383557.2,451.6715656,48032427.06,39275180.63,17075949.48,32.7,66109,14.2,26.3,12.5,Norfolk City,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51700,700,us-va-700,Newport News City,183056,33.66,2823.619716,22570655.02,13784273.8,2093770.371,38448699.2,210.0379075,722454.0907,5304780.283,378250.2529,18256129.18,24661613.81,134.7216907,4332390.064,23.66702028,7219057.793,3586679.508,10805737.3,59.02968109,78248440.37,427.4562996,34685368.62,29390136.44,14172935.31,34.4,69634,12.7,23.7,11.6,Peninsula,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51690,690,us-va-690,Martinsville City,13834,1.02,141.1809858,479205.9172,482887.3678,312212.1061,1274305.391,92.11402277,75609.30623,555178.1934,39586.23748,1173785.68,1844159.417,133.3063045,922053.862,66.65128394,49722.30938,179333.9754,229056.2848,16.5574877,4269574.955,308.6290989,1455886.693,1552972.861,1260715.401,38.4,46727,22.1,19.9,12.7,West Piedmont,Southwestern,Southside Region,Rural (Micropolitan),Rural (Counties in micropolitan statistical areas),Rural,Nonmetropolitan
51685,685,us-va-685,Manassas Park City,16611,1.02,70.5904929,1061725.619,534941.109,246371.4342,1843038.162,110.9528723,21926.47311,161000.0189,11479.89071,532801.2755,727207.6582,43.77868028,328402.7454,19.77019718,562483.6249,89666.9877,652150.6126,39.26016571,3550799.179,213.7619155,1544962.119,1332495.847,673341.212,36.5,103250,3.9,17.3,26.4,Prince William,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51683,683,us-va-683,Manassas City,43616,10.2,705.904929,8367610.695,4215947.006,985780.2306,13569337.93,311.1091786,57572.99689,422742.5696,30143.09271,3692129.012,4202587.672,96.35426613,1667275.477,38.22623525,1712312.029,896669.877,2608981.906,59.81708333,22048182.99,505.5067633,11028289.41,7153084.431,3866809.147,34.8,113590,6.1,27.2,24.4,Prince William,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
